label,target,category
BL,CN2RSP#BL,numerical
V04,CN2RSP#V04,numerical
V06,CN2RSP#V06,numerical
V08,CN2RSP#V08,numerical
V10,CN2RSP#V10,numerical
V12,CN2RSP#V12,numerical
BL,CN346RSP#BL,numerical
V04,CN346RSP#V04,numerical
V06,CN346RSP#V06,numerical
V08,CN346RSP#V08,numerical
V10,CN346RSP#V10,numerical
V12,CN346RSP#V12,numerical
BL,CN8RSP#BL,numerical
V04,CN8RSP#V04,numerical
V06,CN8RSP#V06,numerical
V08,CN8RSP#V08,numerical
V10,CN8RSP#V10,numerical
V12,CN8RSP#V12,numerical
BL,CNTRLEAT#BL,numerical
V04,CNTRLEAT#V04,numerical
V06,CNTRLEAT#V06,numerical
V08,CNTRLEAT#V08,numerical
V10,CNTRLEAT#V10,numerical
V12,CNTRLEAT#V12,numerical
BL,CNTRLSEX#BL,numerical
V04,CNTRLSEX#V04,numerical
V06,CNTRLSEX#V06,numerical
V08,CNTRLSEX#V08,numerical
V10,CNTRLSEX#V10,numerical
V12,CNTRLSEX#V12,numerical
BL,TMBUY#BL,numerical
V04,TMBUY#V04,numerical
V06,TMBUY#V06,numerical
V08,TMBUY#V08,numerical
V10,TMBUY#V10,numerical
V12,TMBUY#V12,numerical
BL,TMEAT#BL,numerical
V04,TMEAT#V04,numerical
V06,TMEAT#V06,numerical
V08,TMEAT#V08,numerical
V10,TMEAT#V10,numerical
V12,TMEAT#V12,numerical
BL,TMSEX#BL,numerical
V04,TMSEX#V04,numerical
V06,TMSEX#V06,numerical
V08,TMSEX#V08,numerical
V10,TMSEX#V10,numerical
V12,TMSEX#V12,numerical
BL,TMTMTACT#BL,numerical
V04,TMTMTACT#V04,numerical
V06,TMTMTACT#V06,numerical
V08,TMTMTACT#V08,numerical
V10,TMTMTACT#V10,numerical
V12,TMTMTACT#V12,numerical
BL,TMTORACT#BL,numerical
V04,TMTORACT#V04,numerical
V06,TMTORACT#V06,numerical
V08,TMTORACT#V08,numerical
V10,TMTORACT#V10,numerical
V12,TMTORACT#V12,numerical
BL,JLO_TOTRAW#BL,numerical
V04,JLO_TOTRAW#V04,numerical
V06,JLO_TOTRAW#V06,numerical
V08,JLO_TOTRAW#V08,numerical
V10,JLO_TOTRAW#V10,numerical
V12,JLO_TOTRAW#V12,numerical
BL,NP1ANXS#BL,numerical
V04,NP1ANXS#V04,numerical
V06,NP1ANXS#V06,numerical
V08,NP1ANXS#V08,numerical
V10,NP1ANXS#V10,numerical
V12,NP1ANXS#V12,numerical
BL,NP1APAT#BL,numerical
V04,NP1APAT#V04,numerical
V06,NP1APAT#V06,numerical
V08,NP1APAT#V08,numerical
V10,NP1APAT#V10,numerical
V12,NP1APAT#V12,numerical
BL,NP1COG#BL,numerical
V04,NP1COG#V04,numerical
V06,NP1COG#V06,numerical
V08,NP1COG#V08,numerical
V10,NP1COG#V10,numerical
V12,NP1COG#V12,numerical
BL,NP1DDS#BL,numerical
V04,NP1DDS#V04,numerical
V06,NP1DDS#V06,numerical
V08,NP1DDS#V08,numerical
V10,NP1DDS#V10,numerical
V12,NP1DDS#V12,numerical
BL,NP1DPRS#BL,numerical
V04,NP1DPRS#V04,numerical
V06,NP1DPRS#V06,numerical
V08,NP1DPRS#V08,numerical
V10,NP1DPRS#V10,numerical
V12,NP1DPRS#V12,numerical
BL,NP1HALL#BL,numerical
V04,NP1HALL#V04,numerical
V06,NP1HALL#V06,numerical
V08,NP1HALL#V08,numerical
V10,NP1HALL#V10,numerical
V12,NP1HALL#V12,numerical
BL,NP1CNST#BL,numerical
V04,NP1CNST#V04,numerical
V06,NP1CNST#V06,numerical
V08,NP1CNST#V08,numerical
V10,NP1CNST#V10,numerical
V12,NP1CNST#V12,numerical
BL,NP1FATG#BL,numerical
V04,NP1FATG#V04,numerical
V06,NP1FATG#V06,numerical
V08,NP1FATG#V08,numerical
V10,NP1FATG#V10,numerical
V12,NP1FATG#V12,numerical
BL,NP1LTHD#BL,numerical
V04,NP1LTHD#V04,numerical
V06,NP1LTHD#V06,numerical
V08,NP1LTHD#V08,numerical
V10,NP1LTHD#V10,numerical
V12,NP1LTHD#V12,numerical
BL,NP1PAIN#BL,numerical
